gemeente_code,gemeente_naam,ggd_code,ggd_naam
GM1680,Aa en Hunze,GG0706,GGD Drenthe
GM0358,Aalsmeer,GG3406,GGD Amsterdam
GM0197,Aalten,GG1413,GGD Noord- en Oost-Gelderland
GM0059,Achtkarspelen,GG7206,GGD Fryslân
GM0482,Alblasserdam,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0613,Albrandswaard,GG4607,GGD Rotterdam-Rijnmond
GM0361,Alkmaar,GG2707,GGD Hollands-Noorden
GM0141,Almelo,GG1106,GGD Regio Twente
GM0034,Almere,GG2209,GGD Flevoland
GM0484,Alphen aan den Rijn,GG4506,GGD Hollands-Midden
GM1723,Alphen-Chaam,GG5206,GGD West-Brabant
GM1959,Altena,GG5206,GGD West-Brabant
GM0060,Ameland,GG7206,GGD Fryslân
GM0307,Amersfoort,GG2514,GGD Regio Utrecht
GM0362,Amstelveen,GG3406,GGD Amsterdam
GM0363,Amsterdam,GG3406,GGD Amsterdam
GM0200,Apeldoorn,GG1413,GGD Noord- en Oost-Gelderland
GM0003,Appingedam,GG0111,GGD Groningen
GM0202,Arnhem,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0106,Assen,GG0706,GGD Drenthe
GM0743,Asten,GG5608,GGD Brabant-Zuidoost
GM0744,Baarle-Nassau,GG5206,GGD West-Brabant
GM0308,Baarn,GG2514,GGD Regio Utrecht
GM0489,Barendrecht,GG4607,GGD Rotterdam-Rijnmond
GM0203,Barneveld,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0888,Beek (L.),GG6106,GGD Zuid-Limburg
GM1954,Beekdaelen,GG6106,GGD Zuid-Limburg
GM0370,Beemster,GG7306,GGD Zaanstreek/Waterland
GM0889,Beesel,GG6011,GGD Limburg-Noord
GM1945,Berg en Dal,GG2014,GGD Gelderland-Zuid
GM1724,Bergeijk,GG5608,GGD Brabant-Zuidoost
GM0893,Bergen (L.),GG6011,GGD Limburg-Noord
GM0373,Bergen (NH.),GG2707,GGD Hollands-Noorden
GM0748,Bergen op Zoom,GG5206,GGD West-Brabant
GM1859,Berkelland,GG1413,GGD Noord- en Oost-Gelderland
GM1721,Bernheze,GG5406,GGD Hart voor Brabant
GM0753,Best,GG5608,GGD Brabant-Zuidoost
GM0209,Beuningen,GG2014,GGD Gelderland-Zuid
GM0375,Beverwijk,GG3109,GGD Kennemerland
GM0310,De Bilt,GG2514,GGD Regio Utrecht
GM1728,Bladel,GG5608,GGD Brabant-Zuidoost
GM0376,Blaricum,GG3606,GGD Gooi en Vechtstreek
GM0377,Bloemendaal,GG3109,GGD Kennemerland
GM1901,Bodegraven-Reeuwijk,GG4506,GGD Hollands-Midden
GM0755,Boekel,GG5406,GGD Hart voor Brabant
GM1681,Borger-Odoorn,GG0706,GGD Drenthe
GM0147,Borne,GG1106,GGD Regio Twente
GM0654,Borsele,GG5006,GGD Zeeland
GM0756,Boxmeer,GG5406,GGD Hart voor Brabant
GM0757,Boxtel,GG5406,GGD Hart voor Brabant
GM0758,Breda,GG5206,GGD West-Brabant
GM0501,Brielle,GG4607,GGD Rotterdam-Rijnmond
GM1876,Bronckhorst,GG1413,GGD Noord- en Oost-Gelderland
GM0213,Brummen,GG1413,GGD Noord- en Oost-Gelderland
GM0899,Brunssum,GG6106,GGD Zuid-Limburg
GM0312,Bunnik,GG2514,GGD Regio Utrecht
GM0313,Bunschoten,GG2514,GGD Regio Utrecht
GM0214,Buren,GG2014,GGD Gelderland-Zuid
GM0502,Capelle aan den IJssel,GG4607,GGD Rotterdam-Rijnmond
GM0383,Castricum,GG2707,GGD Hollands-Noorden
GM0109,Coevorden,GG0706,GGD Drenthe
GM1706,Cranendonck,GG5608,GGD Brabant-Zuidoost
GM1684,Cuijk,GG5406,GGD Hart voor Brabant
GM0216,Culemborg,GG2014,GGD Gelderland-Zuid
GM0148,Dalfsen,GG1009,GGD IJsselland
GM1891,Dantumadiel,GG7206,GGD Fryslân
GM0503,Delft,GG7014,GGD Haaglanden
GM0010,Delfzijl,GG0111,GGD Groningen
GM0762,Deurne,GG5608,GGD Brabant-Zuidoost
GM0150,Deventer,GG1009,GGD IJsselland
GM0384,Diemen,GG3406,GGD Amsterdam
GM1774,Dinkelland,GG1106,GGD Regio Twente
GM0221,Doesburg,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0222,Doetinchem,GG1413,GGD Noord- en Oost-Gelderland
GM0766,Dongen,GG5406,GGD Hart voor Brabant
GM0505,Dordrecht,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0498,Drechterland,GG2707,GGD Hollands-Noorden
GM1719,Drimmelen,GG5206,GGD West-Brabant
GM0303,Dronten,GG2209,GGD Flevoland
GM0225,Druten,GG2014,GGD Gelderland-Zuid
GM0226,Duiven,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM1711,Echt-Susteren,GG6011,GGD Limburg-Noord
GM0385,Edam-Volendam,GG7306,GGD Zaanstreek/Waterland
GM0228,Ede,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0317,Eemnes,GG2514,GGD Regio Utrecht
GM0770,Eersel,GG5608,GGD Brabant-Zuidoost
GM1903,Eijsden-Margraten,GG6106,GGD Zuid-Limburg
GM0772,Eindhoven,GG5608,GGD Brabant-Zuidoost
GM0230,Elburg,GG1413,GGD Noord- en Oost-Gelderland
GM0114,Emmen,GG0706,GGD Drenthe
GM0388,Enkhuizen,GG2707,GGD Hollands-Noorden
GM0153,Enschede,GG1106,GGD Regio Twente
GM0232,Epe,GG1413,GGD Noord- en Oost-Gelderland
GM0233,Ermelo,GG1413,GGD Noord- en Oost-Gelderland
GM0777,Etten-Leur,GG5206,GGD West-Brabant
GM1940,De Fryske Marren,GG7206,GGD Fryslân
GM0779,Geertruidenberg,GG5206,GGD West-Brabant
GM1771,Geldrop-Mierlo,GG5608,GGD Brabant-Zuidoost
GM1652,Gemert-Bakel,GG5608,GGD Brabant-Zuidoost
GM0907,Gennep,GG6011,GGD Limburg-Noord
GM0784,Gilze en Rijen,GG5406,GGD Hart voor Brabant
GM1924,Goeree-Overflakkee,GG4607,GGD Rotterdam-Rijnmond
GM0664,Goes,GG5006,GGD Zeeland
GM0785,Goirle,GG5406,GGD Hart voor Brabant
GM1942,Gooise Meren,GG3606,GGD Gooi en Vechtstreek
GM0512,Gorinchem,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0513,Gouda,GG4506,GGD Hollands-Midden
GM0786,Grave,GG5406,GGD Hart voor Brabant
GM0518,'s-Gravenhage (gemeente),GG7014,GGD Haaglanden
GM0014,Groningen (gemeente),GG0111,GGD Groningen
GM1729,Gulpen-Wittem,GG6106,GGD Zuid-Limburg
GM0158,Haaksbergen,GG1106,GGD Regio Twente
GM0788,Haaren,GG5406,GGD Hart voor Brabant
GM0392,Haarlem,GG3109,GGD Kennemerland
GM0394,Haarlemmermeer,GG3109,GGD Kennemerland
GM1655,Halderberge,GG5206,GGD West-Brabant
GM0160,Hardenberg,GG1009,GGD IJsselland
GM0243,Harderwijk,GG1413,GGD Noord- en Oost-Gelderland
GM0523,Hardinxveld-Giessendam,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0072,Harlingen,GG7206,GGD Fryslân
GM0244,Hattem,GG1413,GGD Noord- en Oost-Gelderland
GM0396,Heemskerk,GG3109,GGD Kennemerland
GM0397,Heemstede,GG3109,GGD Kennemerland
GM0246,Heerde,GG1413,GGD Noord- en Oost-Gelderland
GM0074,Heerenveen,GG7206,GGD Fryslân
GM0398,Heerhugowaard,GG2707,GGD Hollands-Noorden
GM0917,Heerlen,GG6106,GGD Zuid-Limburg
GM1658,Heeze-Leende,GG5608,GGD Brabant-Zuidoost
GM0399,Heiloo,GG2707,GGD Hollands-Noorden
GM0400,Den Helder,GG2707,GGD Hollands-Noorden
GM0163,Hellendoorn,GG1106,GGD Regio Twente
GM0530,Hellevoetsluis,GG4607,GGD Rotterdam-Rijnmond
GM0794,Helmond,GG5608,GGD Brabant-Zuidoost
GM0531,Hendrik-Ido-Ambacht,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0164,Hengelo (O.),GG1106,GGD Regio Twente
GM0796,'s-Hertogenbosch,GG5406,GGD Hart voor Brabant
GM0252,Heumen,GG2014,GGD Gelderland-Zuid
GM0797,Heusden,GG5406,GGD Hart voor Brabant
GM0534,Hillegom,GG4506,GGD Hollands-Midden
GM0798,Hilvarenbeek,GG5406,GGD Hart voor Brabant
GM0402,Hilversum,GG3606,GGD Gooi en Vechtstreek
GM1963,Hoeksche Waard,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM1735,Hof van Twente,GG1106,GGD Regio Twente
GM1966,Het Hogeland,GG0111,GGD Groningen
GM1911,Hollands Kroon,GG2707,GGD Hollands-Noorden
GM0118,Hoogeveen,GG0706,GGD Drenthe
GM0405,Hoorn,GG2707,GGD Hollands-Noorden
GM1507,Horst aan de Maas,GG6011,GGD Limburg-Noord
GM0321,Houten,GG2514,GGD Regio Utrecht
GM0406,Huizen,GG3606,GGD Gooi en Vechtstreek
GM0677,Hulst,GG5006,GGD Zeeland
GM0353,IJsselstein,GG2514,GGD Regio Utrecht
GM1884,Kaag en Braassem,GG4506,GGD Hollands-Midden
GM0166,Kampen,GG1009,GGD IJsselland
GM0678,Kapelle,GG5006,GGD Zeeland
GM0537,Katwijk,GG4506,GGD Hollands-Midden
GM0928,Kerkrade,GG6106,GGD Zuid-Limburg
GM1598,Koggenland,GG2707,GGD Hollands-Noorden
GM0542,Krimpen aan den IJssel,GG4607,GGD Rotterdam-Rijnmond
GM1931,Krimpenerwaard,GG4506,GGD Hollands-Midden
GM1659,Laarbeek,GG5608,GGD Brabant-Zuidoost
GM1685,Landerd,GG5406,GGD Hart voor Brabant
GM0882,Landgraaf,GG6106,GGD Zuid-Limburg
GM0415,Landsmeer,GG7306,GGD Zaanstreek/Waterland
GM0416,Langedijk,GG2707,GGD Hollands-Noorden
GM1621,Lansingerland,GG4607,GGD Rotterdam-Rijnmond
GM0417,Laren (NH.),GG3606,GGD Gooi en Vechtstreek
GM0080,Leeuwarden,GG7206,GGD Fryslân
GM0546,Leiden,GG4506,GGD Hollands-Midden
GM0547,Leiderdorp,GG4506,GGD Hollands-Midden
GM1916,Leidschendam-Voorburg,GG7014,GGD Haaglanden
GM0995,Lelystad,GG2209,GGD Flevoland
GM1640,Leudal,GG6011,GGD Limburg-Noord
GM0327,Leusden,GG2514,GGD Regio Utrecht
GM1705,Lingewaard,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0553,Lisse,GG4506,GGD Hollands-Midden
GM0262,Lochem,GG1413,GGD Noord- en Oost-Gelderland
GM0809,Loon op Zand,GG5406,GGD Hart voor Brabant
GM0331,Lopik,GG2514,GGD Regio Utrecht
GM0024,Loppersum,GG0111,GGD Groningen
GM0168,Losser,GG1106,GGD Regio Twente
GM0263,Maasdriel,GG2014,GGD Gelderland-Zuid
GM1641,Maasgouw,GG6011,GGD Limburg-Noord
GM0556,Maassluis,GG4607,GGD Rotterdam-Rijnmond
GM0935,Maastricht,GG6106,GGD Zuid-Limburg
GM0420,Medemblik,GG2707,GGD Hollands-Noorden
GM0938,Meerssen,GG6106,GGD Zuid-Limburg
GM1948,Meierijstad,GG5406,GGD Hart voor Brabant
GM0119,Meppel,GG0706,GGD Drenthe
GM0687,Middelburg (Z.),GG5006,GGD Zeeland
GM1842,Midden-Delfland,GG7014,GGD Haaglanden
GM1731,Midden-Drenthe,GG0706,GGD Drenthe
GM1952,Midden-Groningen,GG0111,GGD Groningen
GM0815,Mill en Sint Hubert,GG5406,GGD Hart voor Brabant
GM1709,Moerdijk,GG5206,GGD West-Brabant
GM1978,Molenlanden,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM1955,Montferland,GG1413,GGD Noord- en Oost-Gelderland
GM0335,Montfoort,GG2514,GGD Regio Utrecht
GM0944,Mook en Middelaar,GG6011,GGD Limburg-Noord
GM1740,Neder-Betuwe,GG2014,GGD Gelderland-Zuid
GM0946,Nederweert,GG6011,GGD Limburg-Noord
GM0356,Nieuwegein,GG2514,GGD Regio Utrecht
GM0569,Nieuwkoop,GG4506,GGD Hollands-Midden
GM0267,Nijkerk,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0268,Nijmegen,GG2014,GGD Gelderland-Zuid
GM1930,Nissewaard,GG4607,GGD Rotterdam-Rijnmond
GM1970,Noardeast-Fryslân,GG7206,GGD Fryslân
GM1695,Noord-Beveland,GG5006,GGD Zeeland
GM1699,Noordenveld,GG0706,GGD Drenthe
GM0171,Noordoostpolder,GG2209,GGD Flevoland
GM0575,Noordwijk,GG4506,GGD Hollands-Midden
GM0820,"Nuenen, Gerwen en Nederwetten",GG5608,GGD Brabant-Zuidoost
GM0302,Nunspeet,GG1413,GGD Noord- en Oost-Gelderland
GM0579,Oegstgeest,GG4506,GGD Hollands-Midden
GM0823,Oirschot,GG5608,GGD Brabant-Zuidoost
GM0824,Oisterwijk,GG5406,GGD Hart voor Brabant
GM1895,Oldambt,GG0111,GGD Groningen
GM0269,Oldebroek,GG1413,GGD Noord- en Oost-Gelderland
GM0173,Oldenzaal,GG1106,GGD Regio Twente
GM1773,Olst-Wijhe,GG1009,GGD IJsselland
GM0175,Ommen,GG1009,GGD IJsselland
GM1586,Oost Gelre,GG1413,GGD Noord- en Oost-Gelderland
GM0826,Oosterhout,GG5206,GGD West-Brabant
GM0085,Ooststellingwerf,GG7206,GGD Fryslân
GM0431,Oostzaan,GG7306,GGD Zaanstreek/Waterland
GM0432,Opmeer,GG2707,GGD Hollands-Noorden
GM0086,Opsterland,GG7206,GGD Fryslân
GM0828,Oss,GG5406,GGD Hart voor Brabant
GM1509,Oude IJsselstreek,GG1413,GGD Noord- en Oost-Gelderland
GM0437,Ouder-Amstel,GG3406,GGD Amsterdam
GM0589,Oudewater,GG2514,GGD Regio Utrecht
GM1734,Overbetuwe,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0590,Papendrecht,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM1894,Peel en Maas,GG6011,GGD Limburg-Noord
GM0765,Pekela,GG0111,GGD Groningen
GM1926,Pijnacker-Nootdorp,GG7014,GGD Haaglanden
GM0439,Purmerend,GG7306,GGD Zaanstreek/Waterland
GM0273,Putten,GG1413,GGD Noord- en Oost-Gelderland
GM0177,Raalte,GG1009,GGD IJsselland
GM0703,Reimerswaal,GG5006,GGD Zeeland
GM0274,Renkum,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0339,Renswoude,GG2514,GGD Regio Utrecht
GM1667,Reusel-De Mierden,GG5608,GGD Brabant-Zuidoost
GM0275,Rheden,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0340,Rhenen,GG2514,GGD Regio Utrecht
GM0597,Ridderkerk,GG4607,GGD Rotterdam-Rijnmond
GM1742,Rijssen-Holten,GG1106,GGD Regio Twente
GM0603,Rijswijk (ZH.),GG7014,GGD Haaglanden
GM1669,Roerdalen,GG6011,GGD Limburg-Noord
GM0957,Roermond,GG6011,GGD Limburg-Noord
GM0736,De Ronde Venen,GG2514,GGD Regio Utrecht
GM1674,Roosendaal,GG5206,GGD West-Brabant
GM0599,Rotterdam,GG4607,GGD Rotterdam-Rijnmond
GM0277,Rozendaal,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0840,Rucphen,GG5206,GGD West-Brabant
GM0441,Schagen,GG2707,GGD Hollands-Noorden
GM0279,Scherpenzeel,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0606,Schiedam,GG4607,GGD Rotterdam-Rijnmond
GM0088,Schiermonnikoog,GG7206,GGD Fryslân
GM1676,Schouwen-Duiveland,GG5006,GGD Zeeland
GM0965,Simpelveld,GG6106,GGD Zuid-Limburg
GM1702,Sint Anthonis,GG5406,GGD Hart voor Brabant
GM0845,Sint-Michielsgestel,GG5406,GGD Hart voor Brabant
GM1883,Sittard-Geleen,GG6106,GGD Zuid-Limburg
GM0610,Sliedrecht,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM1714,Sluis,GG5006,GGD Zeeland
GM0090,Smallingerland,GG7206,GGD Fryslân
GM0342,Soest,GG2514,GGD Regio Utrecht
GM0847,Someren,GG5608,GGD Brabant-Zuidoost
GM0848,Son en Breugel,GG5608,GGD Brabant-Zuidoost
GM0037,Stadskanaal,GG0111,GGD Groningen
GM0180,Staphorst,GG1009,GGD IJsselland
GM0532,Stede Broec,GG2707,GGD Hollands-Noorden
GM0851,Steenbergen,GG5206,GGD West-Brabant
GM1708,Steenwijkerland,GG1009,GGD IJsselland
GM0971,Stein (L.),GG6106,GGD Zuid-Limburg
GM1904,Stichtse Vecht,GG2514,GGD Regio Utrecht
GM1900,Súdwest-Fryslân,GG7206,GGD Fryslân
GM0715,Terneuzen,GG5006,GGD Zeeland
GM0093,Terschelling,GG7206,GGD Fryslân
GM0448,Texel,GG2707,GGD Hollands-Noorden
GM1525,Teylingen,GG4506,GGD Hollands-Midden
GM0716,Tholen,GG5006,GGD Zeeland
GM0281,Tiel,GG2014,GGD Gelderland-Zuid
GM0855,Tilburg,GG5406,GGD Hart voor Brabant
GM0183,Tubbergen,GG1106,GGD Regio Twente
GM1700,Twenterand,GG1106,GGD Regio Twente
GM1730,Tynaarlo,GG0706,GGD Drenthe
GM0737,Tytsjerksteradiel,GG7206,GGD Fryslân
GM0856,Uden,GG5406,GGD Hart voor Brabant
GM0450,Uitgeest,GG3109,GGD Kennemerland
GM0451,Uithoorn,GG3406,GGD Amsterdam
GM0184,Urk,GG2209,GGD Flevoland
GM0344,Utrecht (gemeente),GG2514,GGD Regio Utrecht
GM1581,Utrechtse Heuvelrug,GG2514,GGD Regio Utrecht
GM0981,Vaals,GG6106,GGD Zuid-Limburg
GM0994,Valkenburg aan de Geul,GG6106,GGD Zuid-Limburg
GM0858,Valkenswaard,GG5608,GGD Brabant-Zuidoost
GM0047,Veendam,GG0111,GGD Groningen
GM0345,Veenendaal,GG2514,GGD Regio Utrecht
GM0717,Veere,GG5006,GGD Zeeland
GM0861,Veldhoven,GG5608,GGD Brabant-Zuidoost
GM0453,Velsen,GG3109,GGD Kennemerland
GM0983,Venlo,GG6011,GGD Limburg-Noord
GM0984,Venray,GG6011,GGD Limburg-Noord
GM1961,Vijfheerenlanden,GG2514,GGD Regio Utrecht
GM0622,Vlaardingen,GG4607,GGD Rotterdam-Rijnmond
GM0096,Vlieland,GG7206,GGD Fryslân
GM0718,Vlissingen,GG5006,GGD Zeeland
GM0986,Voerendaal,GG6106,GGD Zuid-Limburg
GM0626,Voorschoten,GG4506,GGD Hollands-Midden
GM0285,Voorst,GG1413,GGD Noord- en Oost-Gelderland
GM0865,Vught,GG5406,GGD Hart voor Brabant
GM1949,Waadhoeke,GG7206,GGD Fryslân
GM0866,Waalre,GG5608,GGD Brabant-Zuidoost
GM0867,Waalwijk,GG5406,GGD Hart voor Brabant
GM0627,Waddinxveen,GG4506,GGD Hollands-Midden
GM0289,Wageningen,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0629,Wassenaar,GG7014,GGD Haaglanden
GM0852,Waterland,GG7306,GGD Zaanstreek/Waterland
GM0988,Weert,GG6011,GGD Limburg-Noord
GM0457,Weesp,GG3606,GGD Gooi en Vechtstreek
GM1960,West Betuwe,GG2014,GGD Gelderland-Zuid
GM0668,West Maas en Waal,GG2014,GGD Gelderland-Zuid
GM1969,Westerkwartier,GG0111,GGD Groningen
GM1701,Westerveld,GG0706,GGD Drenthe
GM0293,Westervoort,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM1950,Westerwolde,GG0111,GGD Groningen
GM1783,Westland,GG7014,GGD Haaglanden
GM0098,Weststellingwerf,GG7206,GGD Fryslân
GM0614,Westvoorne,GG4607,GGD Rotterdam-Rijnmond
GM0189,Wierden,GG1106,GGD Regio Twente
GM0296,Wijchen,GG2014,GGD Gelderland-Zuid
GM1696,Wijdemeren,GG3606,GGD Gooi en Vechtstreek
GM0352,Wijk bij Duurstede,GG2514,GGD Regio Utrecht
GM0294,Winterswijk,GG1413,GGD Noord- en Oost-Gelderland
GM0873,Woensdrecht,GG5206,GGD West-Brabant
GM0632,Woerden,GG2514,GGD Regio Utrecht
GM1690,De Wolden,GG0706,GGD Drenthe
GM0880,Wormerland,GG7306,GGD Zaanstreek/Waterland
GM0351,Woudenberg,GG2514,GGD Regio Utrecht
GM0479,Zaanstad,GG7306,GGD Zaanstreek/Waterland
GM0297,Zaltbommel,GG2014,GGD Gelderland-Zuid
GM0473,Zandvoort,GG3109,GGD Kennemerland
GM0050,Zeewolde,GG2209,GGD Flevoland
GM0355,Zeist,GG2514,GGD Regio Utrecht
GM0299,Zevenaar,GG1911,Veiligheids- en Gezondheidsregio Gelderland-Midden
GM0637,Zoetermeer,GG7014,GGD Haaglanden
GM0638,Zoeterwoude,GG4506,GGD Hollands-Midden
GM1892,Zuidplas,GG4506,GGD Hollands-Midden
GM0879,Zundert,GG5206,GGD West-Brabant
GM0301,Zutphen,GG1413,GGD Noord- en Oost-Gelderland
GM1896,Zwartewaterland,GG1009,GGD IJsselland
GM0642,Zwijndrecht,GG4816,Dienst Gezondheid & Jeugd ZHZ
GM0193,Zwolle,GG1009,GGD IJsselland
